"Placa";"Vaga";"Categoria Demora";"Data Inicial";"Data Final";"Tempo Indisponível (HH:MM)"
"LUX-3201";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Documentação";"25/07/2025 09:49:12";"25/07/2025 10:23:53";"00:35"
"DSY6577";"CAMINHÃO AUTO VÁCUO - GPS - 07";"Documentação";"25/07/2025 10:02:38";"25/07/2025 10:26:04";"00:23"
"FSA3D71";"CAMINHÃO AUTO VÁCUO - GPS - 05";"Aguardando Área";"25/07/2025 10:08:16";"25/07/2025 10:08:20";"00:00"
"FSA3D71";"CAMINHÃO AUTO VÁCUO - GPS - 05";"Descarregando equipamento";"25/07/2025 10:08:32";"25/07/2025 11:27:14";"01:19"
"DSY6473";"CAMINHÃO AUTO VÁCUO - GPS - 06";"Descarregando equipamento";"25/07/2025 10:08:34";"25/07/2025 11:51:23";"01:43"
"LUX-3201";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Aguardando Área";"25/07/2025 10:24:04";"25/07/2025 10:55:59";"00:32"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 07";"Documentação";"25/07/2025 10:30:03";"25/07/2025 10:36:27";"00:06"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Descarregando equipamento";"25/07/2025 10:35:03";"25/07/2025 10:41:04";"00:06"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 07";"Preparação";"25/07/2025 10:36:46";"25/07/2025 10:38:49";"00:02"
"DSY6474";"CAMINHÃO ALTA PRESSÃO - GPS - 02";"Refeição Motorista";"25/07/2025 10:40:39";"25/07/2025 11:40:48";"01:00"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Pausas Diversas (água, banheiro)";"25/07/2025 10:42:26";"25/07/2025 10:46:30";"00:04"
"ANF-2676";"CAMINHÃO AUTO VÁCUO - GPS - 04";"Descarregando equipamento";"25/07/2025 10:52:22";"25/07/2025 11:32:31";"00:40"
"FMD2200";"CAMINHÃO HIPER VÁCUO - GPS - 02";"Abastecimento (Combustível) ";"25/07/2025 11:02:32";"25/07/2025 11:18:06";"00:16"
"DSY6471";"CAMINHÃO HIPER VÁCUO - GPS - 01";"Refeição Motorista";"25/07/2025 11:04:02";"25/07/2025 12:02:23";"00:58"
"DSY6577";"CAMINHÃO AUTO VÁCUO - GPS - 07";"Descarregando equipamento";"25/07/2025 11:05:19";"25/07/2025 11:05:25";"00:00"
"DSY6577";"CAMINHÃO AUTO VÁCUO - GPS - 07";"Descarregando equipamento";"25/07/2025 11:15:51";"25/07/2025 12:05:35";"00:50"
"FMD2200";"CAMINHÃO HIPER VÁCUO - GPS - 02";"Descarregando equipamento";"25/07/2025 11:18:28";"25/07/2025 13:18:29";"02:00"
"LUX-3201";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Aguardando Área";"25/07/2025 11:25:33";"25/07/2025 12:34:08";"01:09"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Abastecimento (Água)";"25/07/2025 11:28:27";"25/07/2025 11:53:39";"00:25"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Descarregando equipamento";"25/07/2025 11:30:36";"25/07/2025 11:38:34";"00:08"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Pausas Diversas (água, banheiro)";"25/07/2025 11:39:47";"25/07/2025 11:42:31";"00:03"
"PUB2F80";"CAMINHÃO ALTA PRESSÃO - GPS - 10";"Refeição Motorista";"25/07/2025 11:46:28";"25/07/2025 12:46:13";"01:00"
